Arabic Conjugation,Baab Name,Arabic Root,Urdu Translation,Meaning,Fael Text,Number,Gender,Person
حَبَسَ,ضرب,حبس,اس (ایک مرد) نے  روکا,روکنا,ماضی معروف,واحد,مذکر,غائب
حَبَسَا,ضرب,حبس,ان (دو مردوں) نے  روکا,روکنا,ماضی معروف,تثنیہ,مذکر,غائب
حَبَسُوْا,ضرب,حبس,ان (سب مردوں) نے  روکا,روکنا,ماضی معروف,جمع,مذکر,غائب
حَبَسَتْ,ضرب,حبس,اس (ایک عورت) نے  روکا,روکنا,ماضی معروف,واحد,مونث,غائب
حَبَسَتَا,ضرب,حبس,ان (دو عورتوں) نے  روکا,روکنا,ماضی معروف,تثنیہ,مونث,غائب
حَبَسْنَ,ضرب,حبس,ان (سب عورتوں) نے  روکا,روکنا,ماضی معروف,جمع,مونث,غائب
حَبَسْتَ,ضرب,حبس,آپ ایک مرد نے  روکا,روکنا,ماضی معروف,واحد,مذکر,حاضر
حَبَسْتُمَا,ضرب,حبس,آپ دو مردوں نے  روکا,روکنا,ماضی معروف,تثنیہ,مذکر,حاضر
حَبَسْتُمْ,ضرب,حبس,آپ سب مردوں نے  روکا,روکنا,ماضی معروف,جمع,مذکر,حاضر
حَبَسْتِ,ضرب,حبس,آپ (ایک عورت) نے  روکا,روکنا,ماضی معروف,واحد,مونث,حاضر
حَبَسْتُمَا,ضرب,حبس,آپ (دو عورتوں) نے  روکا,روکنا,ماضی معروف,تثنیہ,مونث,حاضر
حَبَسْتُنَّ,ضرب,حبس,آپ (سب عورتوں) نے  روکا,روکنا,ماضی معروف,جمع,مونث,حاضر
حَبَسْتُ,ضرب,حبس,میں (ایک مرد) نے  روکا,روکنا,ماضی معروف,واحد,مذکر,متکلم
حَبَسْنَا,ضرب,حبس,ہم (دو مردوں) نے  روکا,روکنا,ماضی معروف,تثنیہ,مذکر,متکلم
حَبَسْنَا,ضرب,حبس,ہم (سب مردوں) نے  روکا,روکنا,ماضی معروف,جمع,مذکر,متکلم
حَبَسْتُ,ضرب,حبس,میں (ایک عورت) نے  روکا,روکنا,ماضی معروف,واحد,مونث,متکلم
حَبَسْنَا,ضرب,حبس,ہم (دو عورتوں) نے  روکا,روکنا,ماضی معروف,تثنیہ,مونث,متکلم
حَبَسْنَا,ضرب,حبس,ہم (سب عورتوں) نے  روکا,روکنا,ماضی معروف,جمع,مونث,متکلم
مَا حَبَسَ,ضرب,حبس,اس (ایک مرد) نے  نہیں  روکا,روکنا,ماضی معروف نفی,واحد,مذکر,غائب
مَا حَبَسَا,ضرب,حبس,ان (دو مردوں) نے  نہیں  روکا,روکنا,ماضی معروف نفی,تثنیہ,مذکر,غائب
مَا حَبَسُوْا,ضرب,حبس,ان (سب مردوں) نے  نہیں  روکا,روکنا,ماضی معروف نفی,جمع,مذکر,غائب
مَا حَبَسَتْ,ضرب,حبس,اس (ایک عورت) نے  نہیں  روکا,روکنا,ماضی معروف نفی,واحد,مونث,غائب
مَا حَبَسَتَا,ضرب,حبس,ان (دو عورتوں) نے  نہیں  روکا,روکنا,ماضی معروف نفی,تثنیہ,مونث,غائب
مَا حَبَسْنَ,ضرب,حبس,ان (سب عورتوں) نے  نہیں  روکا,روکنا,ماضی معروف نفی,جمع,مونث,غائب
مَا حَبَسْتَ,ضرب,حبس,آپ ایک مرد نے  نہیں  روکا,روکنا,ماضی معروف نفی,واحد,مذکر,حاضر
